seed,seat,agent,opponent,money,opp_money,won,status,turns,wall_s,unit_turns,effective_rate,move_share,harvested_units,fertilizer_collected,unsold_units,drought_deaths,animals_escaped,shed_overflow,latency_p99_ms,n_errors
8,1,B_cow_sheep,B_cow_sheep,45531.0,45531.0,0,DONE,719,17.554,4853,0.9472,0.578,640,155,10,2,1,3,4.9281,0
8,0,B_cow_sheep,A_diversified,50932.0,31373.0,1,DONE,719,21.713,4853,0.9472,0.578,640,155,10,2,1,3,15.3126,0
8,1,A_diversified,B_cow_sheep,31373.0,50932.0,0,DONE,719,21.713,4025,0.9436,0.5712,532,122,55,1,4,17,6.0994,0
8,0,B_cow_sheep,C_goose_wheat,56280.0,27519.0,1,DONE,719,19.566,4853,0.9472,0.578,640,155,10,2,1,3,3.099,0
8,1,C_goose_wheat,B_cow_sheep,27519.0,56280.0,0,DONE,719,19.566,4853,0.9289,0.5724,741,109,4,2,0,0,4.6143,0
8,0,A_diversified,B_cow_sheep,31373.0,50932.0,0,DONE,719,16.75,4025,0.9436,0.5712,532,122,55,1,4,17,4.2873,0
8,1,B_cow_sheep,A_diversified,50932.0,31373.0,1,DONE,719,16.75,4853,0.9472,0.578,640,155,10,2,1,3,6.7509,0
8,0,C_goose_wheat,B_cow_sheep,27519.0,56280.0,0,DONE,719,18.767,4853,0.9289,0.5724,741,109,4,2,0,0,7.0398,0
8,1,B_cow_sheep,C_goose_wheat,56280.0,27519.0,1,DONE,719,18.767,4853,0.9472,0.578,640,155,10,2,1,3,4.8404,0
9,0,B_cow_sheep,B_cow_sheep,46501.0,46501.0,0,DONE,719,16.915,4853,0.9472,0.578,640,155,10,2,1,3,3.8559,0
9,1,B_cow_sheep,B_cow_sheep,46501.0,46501.0,0,DONE,719,16.915,4853,0.9472,0.578,640,155,10,2,1,3,3.7963,0
9,0,B_cow_sheep,A_diversified,48414.0,28510.0,1,DONE,719,17.91,4853,0.9472,0.578,640,155,10,2,1,3,9.2111,0
9,1,A_diversified,B_cow_sheep,28510.0,48414.0,0,DONE,719,17.91,4025,0.9456,0.5727,525,121,42,1,3,26,7.7569,0
9,0,B_cow_sheep,C_goose_wheat,54913.0,29338.0,1,DONE,719,19.47,4853,0.9472,0.578,640,155,10,2,1,3,8.2932,0
9,1,C_goose_wheat,B_cow_sheep,29338.0,54913.0,0,DONE,719,19.47,4853,0.9289,0.5724,741,109,4,2,0,0,2.9521,0
9,0,A_diversified,B_cow_sheep,30498.0,48679.0,0,DONE,719,20.121,4025,0.9453,0.5724,532,122,55,1,4,17,5.6021,0
9,1,B_cow_sheep,A_diversified,48679.0,30498.0,1,DONE,719,20.121,4853,0.9472,0.578,640,155,10,2,1,3,6.1496,0
9,0,C_goose_wheat,B_cow_sheep,29338.0,54913.0,0,DONE,719,21.807,4853,0.9289,0.5724,741,109,4,2,0,0,7.0987,0
9,1,B_cow_sheep,C_goose_wheat,54913.0,29338.0,1,DONE,719,21.807,4853,0.9472,0.578,640,155,10,2,1,3,5.7237,0
10,0,B_cow_sheep,B_cow_sheep,28808.0,28808.0,0,DONE,719,16.531,4853,0.9472,0.578,640,155,10,2,1,9,4.1885,0
10,1,B_cow_sheep,B_cow_sheep,28808.0,28808.0,0,DONE,719,16.531,4853,0.9472,0.578,640,155,10,2,1,9,2.4869,0
10,0,B_cow_sheep,A_diversified,49581.0,32130.0,1,DONE,719,20.927,4853,0.9472,0.578,640,155,10,2,1,3,7.1566,0
10,1,A_diversified,B_cow_sheep,32130.0,49581.0,0,DONE,719,20.927,4025,0.9439,0.5734,523,122,58,2,4,18,4.6621,0
10,0,B_cow_sheep,C_goose_wheat,50936.0,30385.0,1,DONE,719,20.986,4853,0.9472,0.578,640,155,10,2,1,3,12.5583,0
10,1,C_goose_wheat,B_cow_sheep,30385.0,50936.0,0,DONE,719,20.986,4853,0.9289,0.5724,741,109,4,2,0,0,4.786,0
10,0,A_diversified,B_cow_sheep,30677.0,48010.0,0,DONE,719,16.752,4025,0.9394,0.5632,532,129,8,0,5,27,3.9894,0
10,1,B_cow_sheep,A_diversified,48010.0,30677.0,1,DONE,719,16.752,4853,0.9472,0.578,640,155,10,2,1,3,5.6871,0
10,0,C_goose_wheat,B_cow_sheep,30385.0,50936.0,0,DONE,719,21.02,4853,0.9289,0.5724,741,109,4,2,0,0,7.6887,0
10,1,B_cow_sheep,C_goose_wheat,50936.0,30385.0,1,DONE,719,21.02,4853,0.9472,0.578,640,155,10,2,1,3,7.5951,0
